12345678901|#F+994.87;16/09/2024|00:57:04
67890123456|#F-774.99;16/09/2024|03:39:04
67890123456|#B-40.27;16/09/2024|01:03:04
67890123456|#B+858.85;16/09/2024|06:06:04
67890123456|#R+630.17;16/09/2024|03:06:04
67890123456|#F-175.18;15/09/2024|22:21:04
67890123456|#E+448.00;16/09/2024|17:52:04
67890123456|#F-365.00;15/09/2024|21:31:04
67890123456|#R-143.83;15/09/2024|22:31:04
67890123456|#B-834.07;16/09/2024|09:37:04
67890123456|#R+715.87;16/09/2024|07:02:04
67890123456|#F+216.74;16/09/2024|09:40:04
67890123456|#E+205.54;16/09/2024|00:20:04
67890123456|#R+235.75;16/09/2024|14:45:04
67890123456|#E+263.05;15/09/2024|18:27:04
67890123456|#F-501.85;16/09/2024|11:48:04
67890123456|#E+7.68;15/09/2024|18:41:04
67890123456|#E-412.62;16/09/2024|13:31:04
67890123456|#F-687.64;16/09/2024|02:29:04
67890123456|#R-310.25;16/09/2024|05:45:04
67890123456|#E-748.93;15/09/2024|23:56:04
67890123456|#F-114.51;15/09/2024|18:40:04
67890123456|#F+465.35;16/09/2024|06:08:04
67890123456|#R+319.36;16/09/2024|11:00:04
67890123456|#F+57.51;16/09/2024|02:04:04
67890123456|#R+201.02;16/09/2024|18:02:04
67890123456|#R-382.21;15/09/2024|20:22:04
67890123456|#E-78.37;16/09/2024|11:20:04
67890123456|#B+383.73;16/09/2024|16:03:04
67890123456|#F+117.66;16/09/2024|09:53:04
67890123456|#F+580.69;16/09/2024|06:07:04
67890123456|#B-444.33;16/09/2024|01:52:04
67890123456|#B-165.80;15/09/2024|22:57:04
67890123456|#E-65.91;16/09/2024|13:32:04
67890123456|#F-327.06;16/09/2024|08:50:04
67890123456|#R-606.98;16/09/2024|09:17:04
67890123456|#B+392.75;16/09/2024|17:10:04
67890123456|#F+577.40;16/09/2024|01:36:04
67890123456|#F+980.68;15/09/2024|22:15:04
67890123456|#E+79.95;16/09/2024|03:11:04
67890123456|#E+822.68;16/09/2024|11:55:04
67890123456|#R-63.34;16/09/2024|14:31:04
78901234567|#E-635.96;15/09/2024|22:31:04
78901234567|#F+158.38;16/09/2024|00:41:04
78901234567|#F+138.78;16/09/2024|13:12:04
78901234567|#F+461.08;15/09/2024|22:33:04
78901234567|#R+433.19;16/09/2024|09:48:04
78901234567|#B-512.20;16/09/2024|14:57:04
78901234567|#B-578.86;16/09/2024|03:31:04
78901234567|#E+987.06;16/09/2024|03:53:04
78901234567|#F-648.86;16/09/2024|15:53:04
78901234567|#F+940.74;16/09/2024|13:06:04
78901234567|#R+410.23;16/09/2024|01:26:04
78901234567|#E+886.63;16/09/2024|03:10:04
78901234567|#R+350.75;16/09/2024|06:57:04
78901234567|#E+803.08;15/09/2024|19:22:04
78901234567|#R+776.49;16/09/2024|16:19:04
78901234567|#E-926.23;15/09/2024|23:55:04
78901234567|#B-405.63;15/09/2024|20:35:04
78901234567|#R+355.59;16/09/2024|05:52:04
78901234567|#F+556.83;15/09/2024|20:17:04
78901234567|#R+717.84;16/09/2024|08:15:04
78901234567|#R+919.14;16/09/2024|06:59:04
78901234567|#R+432.61;16/09/2024|15:48:04
78901234567|#B+293.07;15/09/2024|22:33:04
78901234567|#R+150.50;16/09/2024|00:06:04
78901234567|#F+576.58;16/09/2024|11:36:04
78901234567|#R+248.07;16/09/2024|12:01:04
78901234567|#F-102.58;16/09/2024|10:10:04
78901234567|#R+92.15;16/09/2024|15:21:04
78901234567|#B-464.08;16/09/2024|02:44:04
78901234567|#B+955.87;16/09/2024|03:29:04
78901234567|#F-265.12;16/09/2024|15:46:04
78901234567|#B-732.11;16/09/2024|03:49:04
78901234567|#B+822.10;16/09/2024|02:58:04
78901234567|#R+593.21;15/09/2024|21:22:04
78901234567|#E+788.97;16/09/2024|08:57:04
78901234567|#R-466.19;15/09/2024|21:41:04
78901234567|#E-2.21;16/09/2024|00:01:04
78901234567|#E-30.60;15/09/2024|22:57:04
78901234567|#E-123.90;15/09/2024|20:04:04
78901234567|#E+612.89;16/09/2024|17:38:04
78901234567|#R-146.17;16/09/2024|04:18:04
78901234567|#E+961.89;15/09/2024|23:45:04
78901234567|#B-762.70;16/09/2024|04:49:04
78901234567|#F-711.85;16/09/2024|09:24:04
78901234567|#E+937.31;16/09/2024|03:50:04
78901234567|#B+928.02;15/09/2024|19:12:04
78901234567|#R-823.63;16/09/2024|13:21:04
78901234567|#F+437.53;16/09/2024|14:00:04
78901234567|#B+570.10;16/09/2024|08:51:04
78901234567|#E+757.73;16/09/2024|03:21:04
78901234567|#F-350.69;16/09/2024|15:28:04
78901234567|#F+451.89;15/09/2024|22:56:04
78901234567|#B-922.81;15/09/2024|18:38:04
78901234567|#F+457.82;16/09/2024|15:59:04
78901234567|#B+124.87;16/09/2024|03:18:04
78901234567|#F-637.51;16/09/2024|02:03:04
78901234567|#E+280.83;15/09/2024|23:10:04
78901234567|#E-796.60;16/09/2024|12:11:04
78901234567|#F+375.10;16/09/2024|02:37:04
78901234567|#E-251.40;16/09/2024|05:06:04
78901234567|#R-721.73;15/09/2024|18:48:04
78901234567|#F+378.00;15/09/2024|19:52:04
78901234567|#E-452.67;15/09/2024|21:45:04
78901234567|#B+975.42;16/09/2024|01:03:04
78901234567|#E-260.41;16/09/2024|18:10:04
78901234567|#E-178.58;16/09/2024|09:28:04
78901234567|#B+415.90;16/09/2024|11:08:04
78901234567|#R-51.41;16/09/2024|16:11:04
78901234567|#F-415.62;16/09/2024|07:53:04
78901234567|#F-765.24;16/09/2024|07:01:04
78901234567|#E-194.22;16/09/2024|14:43:04
78901234567|#F-578.98;16/09/2024|01:59:04
78901234567|#F-852.55;16/09/2024|16:12:04
78901234567|#B-614.61;16/09/2024|00:02:04
78901234567|#E+445.69;16/09/2024|18:18:04
78901234567|#R+816.35;15/09/2024|19:41:04
78901234567|#E-223.88;16/09/2024|14:40:04
78901234567|#B-446.14;15/09/2024|22:01:04
78901234567|#R-288.76;16/09/2024|05:29:04
78901234567|#E+50.63;16/09/2024|05:16:04
78901234567|#B-927.55;16/09/2024|02:36:04
78901234567|#E-498.56;16/09/2024|05:19:04
78901234567|#B-206.58;15/09/2024|18:33:04
78901234567|#F-513.48;15/09/2024|20:24:04
78901234567|#R-491.99;16/09/2024|13:35:04
78901234567|#E+740.93;15/09/2024|18:34:04
78901234567|#E-684.86;16/09/2024|08:15:04
78901234567|#F+245.74;16/09/2024|18:18:04
78901234567|#F-258.13;16/09/2024|13:00:04
78901234567|#F+261.28;16/09/2024|15:24:04
78901234567|#E+316.71;16/09/2024|05:28:04
78901234567|#E+800.28;16/09/2024|13:57:04
78901234567|#R+483.65;16/09/2024|14:35:04
78901234567|#R+958.39;15/09/2024|20:07:04
78901234567|#F-305.70;16/09/2024|15:10:04
78901234567|#F+66.44;16/09/2024|03:17:04
78901234567|#E+112.19;15/09/2024|23:54:04
78901234567|#F-294.34;15/09/2024|19:23:04
78901234567|#B-332.37;16/09/2024|07:54:04
78901234567|#F-677.43;16/09/2024|02:13:04
89012345678|#B-281.17;16/09/2024|17:24:04
89012345678|#F-130.77;16/09/2024|06:48:04
89012345678|#F-653.41;16/09/2024|17:57:04
89012345678|#E+235.90;16/09/2024|02:17:04
89012345678|#F-482.76;16/09/2024|07:16:04
89012345678|#R-723.79;16/09/2024|14:20:04
89012345678|#E+565.38;16/09/2024|11:36:04
89012345678|#B-104.72;16/09/2024|18:21:04
89012345678|#E+703.40;16/09/2024|05:29:04
89012345678|#E+748.67;16/09/2024|05:30:04
89012345678|#R+828.48;16/09/2024|18:06:04
89012345678|#F+979.71;16/09/2024|16:13:04
89012345678|#F-484.06;16/09/2024|14:47:04
89012345678|#E+831.99;16/09/2024|06:37:04
89012345678|#B-42.45;16/09/2024|15:45:04
89012345678|#E+739.89;16/09/2024|13:21:04
89012345678|#E+527.12;16/09/2024|02:45:04
89012345678|#F+648.98;15/09/2024|18:35:04
89012345678|#E-985.72;16/09/2024|10:11:04
89012345678|#E+412.66;16/09/2024|04:13:04
89012345678|#B+345.41;16/09/2024|12:58:04
89012345678|#E+227.06;16/09/2024|14:13:04
89012345678|#E+542.46;16/09/2024|03:34:04
89012345678|#B+304.13;16/09/2024|08:47:04
89012345678|#R-657.54;16/09/2024|16:08:04
89012345678|#E+802.59;16/09/2024|06:34:04
89012345678|#B+547.72;16/09/2024|11:29:04
89012345678|#B-600.10;15/09/2024|23:56:04
89012345678|#F+867.69;16/09/2024|16:19:04
89012345678|#F+992.45;16/09/2024|07:33:04
89012345678|#R-873.34;16/09/2024|04:45:04
89012345678|#B+767.10;16/09/2024|05:08:04
89012345678|#E-573.71;16/09/2024|08:55:04
89012345678|#B+535.14;16/09/2024|13:25:04
89012345678|#E-947.42;16/09/2024|05:21:04
89012345678|#E-513.61;16/09/2024|06:09:04
89012345678|#R+482.97;16/09/2024|14:11:04
89012345678|#R+236.83;15/09/2024|19:32:04
89012345678|#F-398.49;16/09/2024|03:36:04
89012345678|#R-347.74;16/09/2024|07:33:04
89012345678|#E-479.59;16/09/2024|17:04:04
89012345678|#B+586.25;16/09/2024|13:08:04
89012345678|#R-82.33;15/09/2024|22:58:04
89012345678|#R+319.54;16/09/2024|01:39:04
89012345678|#E-624.32;16/09/2024|15:27:04
89012345678|#B-715.15;16/09/2024|02:48:04
89012345678|#F+643.00;16/09/2024|01:45:04
89012345678|#F+792.70;16/09/2024|08:47:04
89012345678|#B-713.21;16/09/2024|08:38:04
89012345678|#R-984.78;15/09/2024|23:17:04
89012345678|#R-232.56;16/09/2024|06:36:04
89012345678|#R-850.38;16/09/2024|09:31:04
89012345678|#R+690.41;16/09/2024|13:34:04
89012345678|#R+319.07;16/09/2024|15:39:04
89012345678|#F+683.88;15/09/2024|23:02:04
89012345678|#R-145.78;16/09/2024|11:34:04
89012345678|#F+136.02;16/09/2024|09:41:04
89012345678|#F-572.43;16/09/2024|13:19:04
89012345678|#B-374.76;16/09/2024|16:20:04
89012345678|#E-552.09;16/09/2024|17:04:04
89012345678|#R-403.36;16/09/2024|09:05:04
89012345678|#R-556.44;16/09/2024|13:32:04
89012345678|#F-484.94;16/09/2024|15:12:04
89012345678|#B+374.66;16/09/2024|00:47:04
89012345678|#E+776.96;16/09/2024|12:46:04
89012345678|#E+885.19;15/09/2024|23:20:04
89012345678|#B+859.22;16/09/2024|14:29:04
89012345678|#F+343.49;16/09/2024|17:18:04
89012345678|#R+170.36;16/09/2024|05:59:04
89012345678|#E+450.05;16/09/2024|15:52:04
89012345678|#E-386.47;16/09/2024|12:13:04
89012345678|#R+128.00;16/09/2024|11:47:04
89012345678|#B+753.21;16/09/2024|06:25:04
89012345678|#E+376.89;15/09/2024|19:59:04
89012345678|#R+606.84;16/09/2024|02:50:04
89012345678|#F+894.82;16/09/2024|05:24:04
89012345678|#B-584.93;16/09/2024|02:53:04
89012345678|#F-368.55;16/09/2024|06:18:04
89012345678|#R+82.55;16/09/2024|01:12:04
89012345678|#E-202.55;16/09/2024|03:10:04
89012345678|#R+749.22;16/09/2024|03:12:04
89012345678|#B+505.09;16/09/2024|10:44:04
89012345678|#B-486.56;16/09/2024|15:13:04
89012345678|#R+111.01;15/09/2024|22:01:04
89012345678|#R+922.82;15/09/2024|23:15:04
89012345678|#B-833.76;16/09/2024|17:47:04
89012345678|#R-779.83;16/09/2024|15:03:04
89012345678|#B-61.97;15/09/2024|23:27:04
89012345678|#E-60.35;15/09/2024|21:25:04
89012345678|#F+520.30;15/09/2024|22:05:04
89012345678|#F-362.96;15/09/2024|22:30:04
89012345678|#R-818.51;16/09/2024|17:23:04
89012345678|#F-693.63;15/09/2024|23:20:04
89012345678|#E+342.28;16/09/2024|12:13:04
89012345678|#R-569.42;15/09/2024|19:09:04
89012345678|#E+357.71;16/09/2024|13:52:04
89012345678|#F-817.82;15/09/2024|19:34:04
89012345678|#B+934.02;16/09/2024|12:12:04
89012345678|#E+891.13;16/09/2024|05:59:04
89012345678|#E-519.06;16/09/2024|10:57:04
90123456789|#B+595.96;16/09/2024|14:52:04
90123456789|#B-975.63;16/09/2024|15:22:04
90123456789|#R-673.44;15/09/2024|22:17:04
90123456789|#R-728.15;15/09/2024|22:09:04
90123456789|#F+394.75;15/09/2024|18:31:04
90123456789|#F-506.76;16/09/2024|13:05:04
90123456789|#B-403.78;15/09/2024|19:13:04
90123456789|#B+645.40;15/09/2024|20:37:04
90123456789|#E-762.67;16/09/2024|02:04:04
90123456789|#F+74.25;16/09/2024|09:48:04
90123456789|#R+241.52;16/09/2024|03:24:04
90123456789|#R+532.91;16/09/2024|00:48:04
90123456789|#B-688.63;16/09/2024|01:27:04
90123456789|#R-154.72;16/09/2024|18:11:04
90123456789|#F+126.47;16/09/2024|04:01:04
90123456789|#E+987.07;16/09/2024|04:08:04
90123456789|#B-50.15;16/09/2024|16:34:04
90123456789|#E+918.48;16/09/2024|12:33:04
90123456789|#R-988.11;16/09/2024|14:14:04
90123456789|#B-602.85;16/09/2024|03:18:04
90123456789|#F+951.62;16/09/2024|17:03:04
90123456789|#E-519.26;16/09/2024|05:50:04
90123456789|#E-352.50;16/09/2024|00:55:04
90123456789|#B-486.79;16/09/2024|07:30:04
90123456789|#R-79.46;16/09/2024|13:38:04
90123456789|#R+844.40;15/09/2024|23:01:04
90123456789|#F-507.75;16/09/2024|13:38:04
90123456789|#R+165.47;16/09/2024|09:44:04
90123456789|#F+546.77;16/09/2024|05:30:04
90123456789|#E-332.63;16/09/2024|13:14:04
90123456789|#R-809.06;16/09/2024|08:43:04
90123456789|#F-447.68;16/09/2024|00:47:04
90123456789|#R-706.38;16/09/2024|05:11:04
90123456789|#B-771.99;16/09/2024|09:18:04
90123456789|#E-591.79;16/09/2024|18:09:04
90123456789|#B+771.07;16/09/2024|10:05:04
90123456789|#E+617.40;16/09/2024|03:43:04
90123456789|#F+370.07;15/09/2024|23:08:04
90123456789|#B+519.52;16/09/2024|01:49:04
90123456789|#B-483.86;16/09/2024|00:53:04
90123456789|#R+969.56;15/09/2024|23:39:04
90123456789|#B-73.81;16/09/2024|10:45:04
90123456789|#B-977.38;16/09/2024|06:24:04
90123456789|#R-584.80;16/09/2024|02:14:04
90123456789|#E+72.83;16/09/2024|13:39:04
90123456789|#R-255.34;16/09/2024|09:29:04
90123456789|#B-759.19;16/09/2024|18:00:04
90123456789|#R-459.11;16/09/2024|07:20:04
90123456789|#E-313.46;16/09/2024|00:40:04
90123456789|#R-800.31;16/09/2024|01:07:04
90123456789|#R+239.29;15/09/2024|19:20:04
90123456789|#R-911.43;16/09/2024|16:18:04
90123456789|#F+562.23;15/09/2024|21:41:04
90123456789|#F+341.10;16/09/2024|05:30:04
90123456789|#F-847.50;16/09/2024|16:02:04
90123456789|#F+585.66;16/09/2024|08:04:04
90123456789|#E+910.21;16/09/2024|18:07:04
90123456789|#F-445.14;16/09/2024|17:46:04
90123456789|#B-376.32;16/09/2024|05:31:04
90123456789|#E+780.13;15/09/2024|19:24:04
90123456789|#F+109.13;16/09/2024|12:51:04
90123456789|#F+128.85;16/09/2024|17:56:04
90123456789|#F+175.97;16/09/2024|01:07:04
90123456789|#F+214.30;16/09/2024|09:19:04
90123456789|#R-502.25;16/09/2024|03:05:04
90123456789|#B+733.55;16/09/2024|03:00:04
90123456789|#E-638.10;16/09/2024|07:34:04
90123456789|#R-904.47;15/09/2024|21:19:04
90123456789|#F+971.52;15/09/2024|23:50:04
90123456789|#E-337.09;16/09/2024|12:24:04
90123456789|#E+237.74;16/09/2024|04:16:04
90123456789|#E+630.25;16/09/2024|02:12:04
90123456789|#E-358.16;16/09/2024|03:21:04
90123456789|#E+911.56;16/09/2024|05:23:04
90123456789|#B+249.84;16/09/2024|08:24:04
90123456789|#F-808.96;16/09/2024|02:12:04
90123456789|#F-97.69;15/09/2024|23:45:04
90123456789|#F-388.66;16/09/2024|15:18:04
90123456789|#R+57.42;15/09/2024|21:36:04
90123456789|#F+766.48;16/09/2024|04:33:04
90123456789|#F+939.24;16/09/2024|11:49:04
90123456789|#F+827.16;16/09/2024|11:30:04
90123456789|#B-228.24;16/09/2024|11:25:04
90123456789|#R+672.07;16/09/2024|11:30:04
90123456789|#F+487.44;15/09/2024|19:27:04
90123456789|#R-987.53;16/09/2024|09:04:04
90123456789|#E+622.40;16/09/2024|09:02:04
90123456789|#F-785.42;16/09/2024|11:12:04
90123456789|#R-718.20;16/09/2024|15:08:04
90123456789|#B-257.87;16/09/2024|07:02:04
90123456789|#B+408.40;16/09/2024|16:41:04
90123456789|#E+687.65;16/09/2024|16:46:04
90123456789|#F+488.97;16/09/2024|09:09:04
90123456789|#F+569.24;16/09/2024|05:41:04
90123456789|#F+341.53;16/09/2024|00:25:04
90123456789|#R-193.52;16/09/2024|05:56:04
90123456789|#B+202.81;15/09/2024|18:52:04
90123456789|#F-221.10;16/09/2024|12:17:04
90123456789|#F-65.73;16/09/2024|17:21:04
90123456789|#E-943.49;15/09/2024|20:29:04
01234567890|#R+255.10;15/09/2024|19:21:04
01234567890|#F-61.31;16/09/2024|09:42:04
01234567890|#B+422.74;15/09/2024|20:24:04
01234567890|#R+885.12;16/09/2024|02:24:04
01234567890|#R+171.92;15/09/2024|21:20:04
01234567890|#E+984.89;16/09/2024|03:58:04
01234567890|#R-746.66;16/09/2024|14:15:04
01234567890|#E-382.86;15/09/2024|21:26:04
01234567890|#B-792.95;15/09/2024|22:06:04
01234567890|#F-206.01;16/09/2024|10:04:04
01234567890|#E-988.54;16/09/2024|01:01:04
01234567890|#E-943.78;15/09/2024|22:13:04
01234567890|#E-11.51;16/09/2024|13:45:04
01234567890|#F+32.12;16/09/2024|15:39:04
01234567890|#F+631.07;15/09/2024|19:49:04
01234567890|#R-441.38;16/09/2024|08:39:04
01234567890|#F-800.96;16/09/2024|15:58:04
01234567890|#R+114.44;16/09/2024|14:11:04
01234567890|#F+768.65;16/09/2024|03:35:04
01234567890|#E-304.70;16/09/2024|00:34:04
01234567890|#E+269.38;16/09/2024|04:22:04
01234567890|#R-663.55;16/09/2024|13:14:04
01234567890|#B+159.05;16/09/2024|06:20:04
01234567890|#R-73.39;16/09/2024|01:11:04
01234567890|#B+156.98;16/09/2024|15:26:04
01234567890|#E+189.64;16/09/2024|00:24:04
01234567890|#B-337.72;15/09/2024|22:20:04
01234567890|#R+18.47;16/09/2024|01:51:04
01234567890|#B-258.28;16/09/2024|11:51:04
01234567890|#B+208.21;15/09/2024|20:08:04
01234567890|#B-474.89;16/09/2024|08:38:04
01234567890|#B-126.09;16/09/2024|01:31:04
01234567890|#E-147.95;15/09/2024|18:36:04
01234567890|#F+636.33;15/09/2024|20:38:04
01234567890|#R+819.09;16/09/2024|16:11:04
01234567890|#B-240.89;16/09/2024|12:11:04
01234567890|#B+113.94;16/09/2024|04:11:04
01234567890|#R+925.46;16/09/2024|14:36:04
01234567890|#E-795.94;16/09/2024|02:16:04
01234567890|#B-857.14;16/09/2024|15:56:04
01234567890|#R+559.59;16/09/2024|05:42:04
01234567890|#E-115.23;15/09/2024|22:57:04
01234567890|#B+564.82;15/09/2024|19:09:04
01234567890|#F+35.33;16/09/2024|04:45:04
01234567890|#R-149.10;16/09/2024|17:33:04
01234567890|#R-714.46;16/09/2024|05:37:04
01234567890|#R-497.39;16/09/2024|13:57:04
01234567890|#R+341.43;16/09/2024|08:55:04
01234567890|#F-809.11;16/09/2024|11:03:04
01234567890|#R+500.41;16/09/2024|06:42:04
01234567890|#B-198.81;16/09/2024|11:05:04
01234567890|#E+85.30;16/09/2024|14:49:04
01234567890|#R+676.57;16/09/2024|06:24:04
01234567890|#F+411.24;16/09/2024|09:51:04
01234567890|#F-511.81;16/09/2024|17:03:04
01234567890|#E+856.37;16/09/2024|13:46:04
01234567890|#F-590.76;16/09/2024|02:48:04
01234567890|#F+198.11;16/09/2024|09:34:04
01234567890|#E-354.14;16/09/2024|10:49:04
01234567890|#E-548.61;16/09/2024|09:23:04
01234567890|#B-320.10;16/09/2024|02:01:04
01234567890|#F-990.10;16/09/2024|14:14:04
01234567890|#F+439.10;16/09/2024|00:52:04
01234567890|#B+54.99;16/09/2024|14:19:04
01234567890|#R+736.43;16/09/2024|03:10:04
01234567890|#R+983.20;16/09/2024|14:53:04
01234567890|#F+852.11;16/09/2024|09:53:04
01234567890|#E-681.63;16/09/2024|12:39:04
01234567890|#F+163.04;16/09/2024|15:56:04
01234567890|#R-284.94;16/09/2024|12:04:04
01234567890|#R+34.73;16/09/2024|03:13:04
01234567890|#F+182.17;16/09/2024|14:36:04
01234567890|#B+670.60;16/09/2024|16:22:04
01234567890|#B+541.86;16/09/2024|13:20:04
01234567890|#F-101.97;16/09/2024|06:28:04
01234567890|#F-612.62;16/09/2024|11:35:04
01234567890|#F+199.16;16/09/2024|01:07:04
01234567890|#B-742.63;16/09/2024|02:53:04
01234567890|#B-893.22;16/09/2024|06:39:04
01234567890|#E-743.32;16/09/2024|10:05:04
01234567890|#B+774.77;16/09/2024|17:36:04
01234567890|#F+63.77;16/09/2024|12:25:04
01234567890|#F-356.52;16/09/2024|02:24:04
01234567890|#E-529.97;15/09/2024|23:19:04
01234567890|#R+443.80;16/09/2024|09:56:04
01234567890|#F-898.78;16/09/2024|14:03:04
01234567890|#E+126.90;16/09/2024|06:34:04
01234567890|#B-634.15;16/09/2024|02:20:04
01234567890|#E-308.21;16/09/2024|12:34:04
01234567890|#F+327.06;16/09/2024|01:51:04
01234567890|#E-730.98;16/09/2024|01:16:04
01234567890|#F+752.52;16/09/2024|07:16:04
01234567890|#R+18.04;16/09/2024|06:34:04
01234567890|#E+316.77;16/09/2024|14:58:04
01234567890|#B-992.07;15/09/2024|21:36:04
01234567890|#E-625.84;16/09/2024|17:10:04
01234567890|#F-692.72;16/09/2024|04:25:04
01234567890|#B+957.78;16/09/2024|16:55:04
01234567890|#E-11.54;16/09/2024|14:16:04
01234567890|#R-635.06;16/09/2024|10:52:04
